"7/2/19 0:47","19-01732","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE","HEARST FIELD ANNEX","OCCURED: 07/02/19 0045 (MH-31-E) REPORTS SUSPICIOUS CIRCUMSTANCE REGARDING OPEN WINDOW WITH CUT SCREEN, HEARST FIELD ANNEX B38,","UNDER INVESTIGATION"
"7/2/19 8:50","","PEDESTRIAN STOP","SUSPECT STOP","ASUC GARAGE","","FIELD IDENTIFICATION CARD"
"7/2/19 10:03","","WELFARE CHECK","CHECK WELFARE- 911 CALL","2350 BOWDITCH ST","","CLOSED"
"7/2/19 10:08","","PEDESTRIAN STOP","SUSPECT STOP","BANWAY LOT","","FIELD IDENTIFICATION CARD"
"7/2/19 11:16","","MISC. SERVICE","SECURITY SWEEP","UCOP","","CANCELLED"
"7/2/19 11:16","19-01733","OTHER ASSAULTS","BATTERY","MLK","OCCD 7/2/19, 1116 HRS (MH-37-O) CONTACTED FOR BATTERY VIA WATER BALLOON AND ISSUED A 7 DAY STAY AWAY ORDER FROM ALL UC PROPERTY, MLK. NO PROSECUTION SOUGHT.","UNDER INVESTIGATION"
"7/2/19 11:41","","SUPPLEMENT","SUPPLEMENT","UCPD","","CLOSED"
"7/2/19 12:15","","DISORDERLY CONDUCT","LODGING","MLK","","CLOSED"
"7/2/19 12:21","19-01734","SUICIDE ATTEMPT","SUICIDE ATTEMPT","400 OHLONE AVE","OCCD 7/2/19, 1221 HRS (MW-29-S) VICTIM OF SUICIDE ATTEMPT, 400 OHLONE AVE - UVA. TO JGP VIA FALCK AMBULANCE.","UNDER INVESTIGATION"
"7/2/19 12:48","19-01736","FORGERY AND COUNTERFEITING","FRAUDULENT USE OF CREDIT CARD","SHARED SERVICES","OCCD 6/24/19 (MH-42-E) REPORTS THE FRADULENT USE OF HIS UC BLU CARD, CSS. LOSS $142.","UNDER INVESTIGATION"
"7/2/19 13:03","","TRAFFIC STOP","TRAFFIC STOP","2300 BLK DURANT","","CLOSED BY CITATION"
"7/2/19 13:12","19-01735","LARCENY/THEFT","PETTY THEFT-IN PROGRESS","MLK","7/2/19, 1329 HRS FLANAGAN, ERIC (MB-52-O) ARRESTED FOR THEFT AND ISSUED A 7 DAY STAY AWAY ORDER FROM ALL UC PROPERTY, MLK. CITED AND RELEASED AT SCENE.","CLOSED BY ARREST"
"7/2/19 13:23","","WELFARE CHECK","CHECK WELFARE- 911 CALL","WURSTER HALL","","CLOSED"
"7/2/19 14:59","","WELFARE CHECK","CHECK WELFARE- 911 CALL","2520 CHANNING WAY","","CLOSED"
"7/2/19 15:14","","MAINTENANCE ISSUE","CAMPUS CONDITION -GROUNDS","KROEBER HALL","","CLOSED"
"7/2/19 15:19","","MISC. SERVICE","MISC SERVICE MOTORIST","2220 OXFORD","","CLOSED"
"7/2/19 16:31","","WELFARE CHECK","CHECK WELFARE- 911 CALL","I HOUSE","","CLOSED"
"7/2/19 17:26","19-01737","TRAFFIC","ACCIDENT / MINOR INJURIES","WEST CIRCLE","OCCD 7/2/2019 1720 (MA-24-S) VICTIM OF MINOR TRAFFIC COLLISION, WEST CIRCLE. DECLINED MEDICAL.","UNDER INVESTIGATION"
"7/2/19 20:44","","OUTSIDE ASSIST","OUTSIDE ASSIST - BPD","ARTICHOKES","","CLOSED"
"7/2/19 21:07","","SUSPICIOUS EVENT","SUSPICIOUS PERSON","WOO HON FAI HALL","","CLOSED"
"7/2/19 21:46","","TRAFFIC STOP","TRAFFIC STOP","BANC TELE","","WARNING ISSUED"
"7/2/19 22:16","","TRAFFIC STOP","TRAFFIC STOP","S/B SHATTUCK/HASTE","","WARNING ISSUED"
"7/2/19 22:24","","TRAFFIC STOP","TRAFFIC STOP","BOW CHAN","","CLOSED BY CITATION"
"7/2/19 22:28","","SUSPICIOUS EVENT","SUSPICIOUS PERSON","SUTARDJA DAI HALL","","CLOSED"
"7/2/19 22:39","","TRAFFIC STOP","TRAFFIC STOP","BOW CHAN","","WARNING ISSUED"
"7/2/19 23:15","","MISC. SERVICE","MISC SERVICE MOTORIST","HAAS CLUBHOUSE","","CLOSED"
"7/2/19 23:25","","TRAFFIC STOP","TRAFFIC STOP","BAN DANA","","CLOSED BY CITATION"
"7/2/19 23:26","","TRAFFIC STOP","TRAFFIC STOP","BANC COLLEGE","","WARNING ISSUED"
"7/2/19 23:40","","DISORDERLY CONDUCT","LODGING","UNIT-3 SPENS/BLACK","","CLOSED"
